word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
سو	بیوی	N	0.58	4.19	4.13	3	0.0	0	1.7
باب	پونچھ	N	0.3	3.43	4.96	3	0.0	0	1.57
نصاب	پیٹ	N	0.58	3.82	4.89	3	0.0	0	0.87
بھجن	بھوسہ	N	0.4	4.04	4.77	3	0.0	0	1.64
دندان ساز	کرنل	N	0.4	4.93	3.89	3	0.0	0	1.7
بیوی	بھوسہ	N	0.4	4.13	4.77	3	0.0	0	1.53
سوراخ	بیوی	N	0.68	4.81	4.13	3	0.0	0	1.18
شاگرد	صدر	N	0.78	4.55	4.4	3	0.0	0	1.28
غسل	بیوی	N	0.48	4.85	4.13	3	0.0	0	1.42
لوگ	سو	N	0.48	4.82	4.19	3	0.0	0	1.61
ترکیب	لٹھا	N	1.77	4.11	4.96	3	0.0	0	1.51
عورت	فر	N	0.58	4.46	4.69	3	0.0	0	0.99
سیب	دھوپ	N	0.58	5.0	4.21	3	0.0	0	1.2
بندوق	آغاز	N	1.18	4.83	4.46	3	0.0	0	1.57
کھانا	میان	N	0.98	4.62	4.72	3	0.0	0	1.58
کیمرا	صدر	N	0.48	5.0	4.4	3	0.0	0	1.56
شراب	بینڈ	N	0.68	4.73	4.68	3	0.0	0	0.91
پیٹ	رگ	N	2.35	4.89	4.63	4	0.0	0	1.2
بندوق	فر	N	0.3	4.83	4.69	4	0.0	0	1.8
آرام دہ پلنگ	ایک کھیل کا انعام	N	0.88	4.71	4.86	4	0.0	0	1.32
ملازم	کیمرا	N	0.68	4.59	5.0	4	0.0	0	1.21
جہاز کی چھت	چوہا	N	0.48	4.77	4.83	4	0.0	0	1.48
چاول	لڑکا	N	0.4	4.86	4.76	4	0.0	0	1.72
لوگ	بندوق	N	0.68	4.82	4.83	4	0.0	0	1.47
ٹیلہ	پونچھ	N	0.3	4.71	4.96	4	0.0	0	1.57
تختہ	کھڑکی	N	0.3	4.81	4.86	4	0.0	0	1.8
شہزادی	جزیرہ	N	0.3	4.72	4.96	4	0.0	0	1.36
کنٹینر	چوہا	N	0.3	4.85	4.83	4	0.0	0	0.95
جھگڑا	کنٹینر	N	2.65	4.89	4.85	4	0.0	0	0.85
لوگ	غبارہ	N	0.48	4.82	4.92	4	0.0	0	1.96
ڈالر	لوگ	N	0.4	4.93	4.82	4	0.0	0	1.42
غسل	غبارہ	N	0.4	4.85	4.92	4	0.0	0	1.41
پیٹ	بیڈروم	N	0.4	4.89	4.9	4	0.0	0	0.97
بائی سائیکل	بیڈروم	N	0.4	4.89	4.9	4	0.0	0	1.47
لٹھا	غسل	N	0.4	4.96	4.85	4	0.0	0	1.63
پیمانہ	پونچھ	N	0.48	4.87	4.96	4	0.0	0	1.0
جانا	آنا	V	2.42	3.15	2.72	2	5.75	1	1.51
پکڑنا	چرا لے جانا	V	6.18	3.06	3.84	2	3.28	1	1.69
سننا	سننا	V	8.17	3.47	3.66	2	3.22	1	1.72
سوچتے	عقل کے مطابق تاویل کرنا	V	8.25	2.41	1.52	1	3.17	1	1.13
واقع ہونا	ہوا	V	9.32	1.84	1.78	1	2.87	1	1.34
غائب ہو جانا	غائب ہونا	V	9.8	2.77	2.86	2	2.76	1	0.46
ضرب	تقسیم کرنا	V	1.75	2.79	2.86	2	2.53	1	1.32
وکالت	طلب	V	9.08	2.59	2.96	2	2.5	1	1.26
آغاز کرنا	آغاز کرنا	V	8.2	2.56	2.23	1	2.44	1	0.75
حفاظت	بچانا	V	9.13	2.86	2.31	1	2.28	1	1.29
قتل	برباد کرنا	V	5.9	3.9	3.08	2	2.0	1	1.93
بنانا	بنانا	V	8.72	2.62	2.67	2	1.72	1	1.14
منظور	ترک کرنا	V	0.83	3.03	2.4	2	1.69	1	1.28
نظر انداز	پرہیز	V	6.87	2.22	2.41	1	1.56	1	1.22
اٹھانا	لانا	V	5.8	4.04	2.55	2	1.37	1	1.24
چھوڑنا	آ ملنا	V	0.95	2.53	3.12	2	1.3	1	1.91
منتخب	انتخاب کرنا	V	7.62	2.62	2.41	1	1.28	1	1.14
کھونا	فاعل	V	7.33	2.25	3.0	2	1.28	1	1.79
جرات دلانا	حمایت نہ کرنا	V	1.58	2.61	1.9	1	1.23	1	1.55
حاصل	انجام دینا	V	8.57	2.29	2.33	1	1.22	1	0.94
بنانا	تعمیر کرنا	V	8.33	2.67	2.6	2	1.2	1	0.85
سننا	حکم ماننا	V	4.93	3.47	2.67	2	1.19	1	1.33
مطلع	مطلع	V	9.25	2.25	3.04	2	1.15	1	0.44
پا لینا	دینا	V	1.47	2.69	2.83	2	1.11	1	1.19
ادھار لینا	طلب	V	2.62	3.1	2.96	2	1.0	1	1.89
پکڑنا	حاصل	V	7.1	3.06	3.0	2	0.9	1	1.01
مشورہ	تعریف کرنا	V	8.1	2.03	1.74	1	0.89	1	1.6
پیروی کرنا	تصویر کھینچنا	V	6.75	2.66	2.18	1	0.89	1	1.13
جیت	بعد میں آنا	V	7.9	2.67	2.33	1	0.89	1	1.83
سوچتے	طے	V	5.13	2.41	1.92	1	0.88	1	1.4
بندگی کرنا	ملنا	V	6.17	2.96	3.0	2	0.83	1	1.73
رضامند	بحث	V	0.77	2.31	2.75	1	0.81	1	1.68
لطف	بات چیت میں لگانا	V	5.92	2.29	2.55	1	0.79	1	1.27
برباد کرنا	بنانا	V	1.6	3.08	2.67	2	0.78	1	1.72
محفوظ	حفاظت	V	6.58	2.42	2.86	2	0.74	1	0.44
دینا	ادھار دینا	V	7.22	2.83	3.07	2	0.72	1	0.93
سمجھ	جاننا	V	7.47	2.28	1.68	1	0.71	1	1.26
پکڑنا	پا لینا	V	5.08	3.06	2.69	2	0.7	1	0.48
منظور	تسلیم	V	6.88	3.03	2.03	1	0.69	1	1.63
طے	منتخب	V	8.87	1.92	2.62	1	0.67	1	1.26
منظور	اعتبار	V	6.75	3.03	1.55	1	0.67	1	1.61
رکھنا	پاس	V	8.27	2.37	2.6	1	0.62	1	0.8
بھٹکتے ہوئے	آوارہ گردی کرنا	V	8.83	2.85	2.28	1	0.61	1	0.89
بعد میں آنا	فاعل	V	0.83	2.33	3.0	2	0.61	1	1.44
خرچ	محفوظ	V	0.55	2.93	2.42	2	0.61	1	1.06
چھوڑنا	جانا	V	7.63	2.53	3.15	2	0.61	1	1.49
آنا	توجہ	V	8.1	2.72	3.17	2	0.61	1	1.6
جاننا	اعتبار	V	5.5	1.68	1.55	1	0.6	1	1.18
جمع	ملنا	V	7.3	2.75	3.0	2	0.55	1	0.59
بنانا	کمانا	V	7.62	2.67	2.39	1	0.54	1	1.92
بھولنا	نظر انداز	V	3.07	2.04	2.22	1	0.5	1	1.25
ضرب	شامل	V	2.7	2.79	3.0	2	0.5	1	1.8
پیچھے ہٹنا	اگنا	V	0.23	3.55	3.03	2	0.5	1	1.2
آنا	چھوڑنا	V	1.33	3.22	2.53	2	0.49	1	1.48
بعد میں آنا	کوشش	V	3.98	2.33	2.22	1	0.48	1	1.35
منظور	انکار کرنا	V	1.75	3.03	2.2	2	0.48	1	1.41
آنا	آنا	V	7.05	3.22	2.72	2	0.48	1	1.56
رضامند	اختلاف	V	1.05	2.31	1.59	1	0.42	0	1.53
بھیجنا	پا لینا	V	1.08	2.7	2.69	2	0.42	0	1.53
جیت	غالب	V	5.68	2.67	2.12	1	0.41	0	1.74
شامل	تقسیم کرنا	V	2.3	3.0	2.86	2	0.41	0	1.25
قتل	دم رک جانا	V	4.92	3.9	3.97	3	0.41	0	1.48
پانا	پانا	V	8.82	2.93	2.38	2	0.39	0	0.94
حصہ لینا	جوڑنا	V	7.7	2.59	2.86	2	0.39	0	1.69
چھوڑنا	رہنا	V	2.53	2.53	1.96	1	0.34	0	1.36
جانا	آ ملنا	V	4.0	3.15	3.12	2	0.34	0	1.43
پکڑنا	اٹھانا	V	5.23	3.06	4.04	2	0.34	0	0.44
بھولنا	سیکھنا	V	1.18	2.04	2.2	1	0.33	0	1.65
مقرر	انتخاب کرنا	V	8.17	2.24	2.41	1	0.33	0	1.51
قول و قرار کرنا	شادی	V	5.43	2.07	3.03	1	0.33	0	1.12
پوچھنا	عبادت	V	3.72	2.52	3.21	2	0.33	0	1.63
جانا	بھیجنا	V	3.75	3.15	2.7	2	0.33	0	0.77
پکڑنا	آزاد کرنا	V	4.37	3.06	3.12	2	0.33	0	1.16
بات	سننا	V	3.02	3.7	3.66	2	0.33	0	0.76
تجزیہ کرنا	اندازہ	V	8.03	2.3	1.85	1	0.28	0	0.49
بحث	عقل کے مطابق تاویل کرنا	V	4.2	2.75	1.52	1	0.28	0	1.21
کھونا	رکھنا	V	1.05	2.25	2.37	1	0.28	0	1.57
موازنہ	تجزیہ کرنا	V	8.1	2.52	2.3	1	0.28	0	0.84
ابتری میں ڈالنا	تنظیم کرنا	V	1.45	2.44	2.72	1	0.28	0	1.3
جانا	اجازت دینا	V	3.62	3.15	2.41	2	0.28	0	1.53
پکڑنا	پاس	V	7.2	3.06	2.6	2	0.28	0	1.14
سیکھنا	سننا	V	3.88	2.2	3.47	2	0.28	0	1.65
برباد کرنا	تعمیر کرنا	V	0.92	3.08	2.6	2	0.28	0	1.78
بنانا	بنانا	V	8.48	2.62	3.71	2	0.28	0	1.14
چرا لے جانا	خریدنا	V	1.13	3.84	3.35	2	0.28	0	0.95
قتل	پھانسی	V	4.45	3.9	3.7	3	0.28	0	1.43
بھولنا	جاننا	V	0.92	2.04	1.68	1	0.27	0	1.6
بنانا	خیال	V	5.13	2.62	1.53	1	0.27	0	1.7
کرنا	ہوا	V	4.23	2.46	1.78	1	0.27	0	1.02
جیت	انجام دینا	V	7.85	2.67	2.33	1	0.27	0	0.8
دینا	انکار کرنا	V	1.43	2.83	2.2	1	0.27	0	1.36
مستحق	کمانا	V	5.8	1.69	2.39	1	0.23	0	0.62
پانا	رکھنا	V	1.98	2.38	2.5	1	0.22	0	1.33
بٹھانا	تلاش	V	8.73	2.97	2.63	2	0.22	0	1.54
چھپنا	توجہ	V	6.28	3.13	3.17	2	0.22	0	1.47
جاننا	ادراک کرنا	V	7.63	1.68	1.86	1	0.21	0	1.39
بننا	خیال	V	8.47	2.11	1.53	1	0.21	0	1.63
مطمعن	براہ کرم	V	7.67	2.04	1.64	1	0.21	0	1.74
پالنا پوسنا	رکھنا	V	4.85	1.73	2.37	1	0.21	0	1.78
بحث	اختلاف	V	5.15	2.75	1.59	1	0.21	0	1.22
زیر کرنا	غالب	V	6.25	2.28	2.12	1	0.21	0	1.58
پیش آنا	حکم ماننا	V	7.3	1.78	2.67	1	0.21	0	1.24
تعاون	حصہ لینا	V	6.43	1.87	2.59	1	0.21	0	1.5
حاصل	کوشش	V	4.42	2.29	2.22	1	0.21	0	1.14
فاعل	حمایت نہ کرنا	V	3.33	3.0	1.9	1	0.21	0	1.2
آغاز کرنا	آزاد ہونا	V	1.28	2.56	2.56	1	0.21	0	1.53
کہہ	حصہ لینا	V	3.82	2.58	2.59	1	0.21	0	1.3
آنا	لانا	V	2.42	2.72	2.55	2	0.21	0	1.03
اعلان	تشہیر کرنا اعلان کرنا	V	9.08	2.0	3.31	2	0.21	0	1.56
پڑھنا	ادراک کرنا	V	4.7	3.56	1.86	2	0.21	0	1.75
پکڑنا	چھوڑنا	V	2.47	3.06	2.53	2	0.21	0	0.8
اعلان کرنا	تشہیر کرنا اعلان کرنا	V	8.18	2.36	3.31	2	0.21	0	1.58
پانا	حاصل	V	8.57	2.93	3.0	2	0.21	0	1.96
انجام کو پہنچنا	طے	V	7.75	1.78	1.92	1	0.2	0	1.17
براہ کرم	وکالت	V	2.98	1.64	2.59	1	0.2	0	1.18
بحث	آزمانا	V	4.83	2.75	1.83	1	0.2	0	0.62
پوچھنا	وکالت	V	6.47	2.52	2.59	1	0.2	0	1.62
تلاش	غائب ہونا	V	0.77	2.63	2.86	2	0.2	0	1.04
دیکھنا	تفتیش	V	8.75	3.31	2.86	2	0.2	0	1.39
تصدیق	تائیدی دلائل پیش کرنا	V	4.08	2.1	1.45	1	0.17	0	1.11
اختیار کرنا	آنے والے واقعہ کی خبر دینا	V	4.85	1.75	2.0	1	0.17	0	1.02
سیکھنا	اندازہ	V	4.17	2.2	1.85	1	0.17	0	0.88
بحث	تائیدی دلائل پیش کرنا	V	5.0	2.75	1.45	1	0.17	0	1.13
بنانا	ہوجانا	V	4.77	2.67	1.54	1	0.17	0	0.82
ظاہر کرنا	آغاز کرنا	V	4.83	2.37	2.23	1	0.17	0	1.33
حاصل	بعد میں آنا	V	7.5	2.29	2.33	1	0.17	0	1.29
دینا	رکھنا	V	3.65	2.83	2.5	2	0.17	0	1.47
سمجھ	سننا	V	4.68	2.28	3.47	2	0.17	0	1.66
توسیع	اگنا	V	8.27	3.36	3.03	2	0.17	0	1.28
ادھار لینا	بیچنا	V	1.73	3.1	3.35	2	0.17	0	1.21
رکھنا	حفاظت	V	5.4	2.37	2.86	2	0.15	0	1.26
وضاحت	آزمانا	V	4.1	1.97	1.83	1	0.14	0	1.29
اختیار کرنا	بننا	V	3.72	1.75	2.11	1	0.14	0	1.15
رضامند	براہ کرم	V	4.13	2.31	1.64	1	0.14	0	1.7
بخش دینا	بھولنا	V	3.92	1.92	2.04	1	0.14	0	1.5
صاف کرنا	وضاحت	V	8.33	2.07	1.97	1	0.14	0	1.74
سمجھ	بخش دینا	V	4.87	2.28	1.92	1	0.14	0	1.32
جتانا	بھولنا	V	0.87	2.19	2.04	1	0.14	0	1.56
پانا	رہنا	V	1.6	2.38	1.96	1	0.14	0	1.68
احساس کرنا	ظاہر کرنا	V	7.47	2.03	2.37	1	0.14	0	0.59
ضرورت	پوچھنا	V	1.82	2.07	2.38	1	0.14	0	1.06
نظر انداز	پوچھنا	V	1.07	2.22	2.52	1	0.14	0	1.27
سوچتے	پوچھنا	V	4.77	2.41	2.38	1	0.14	0	1.23
ترک کرنا	پرہیز	V	4.78	2.4	2.41	1	0.14	0	1.36
بحث	اکسانا	V	6.23	2.75	2.07	1	0.14	0	1.7
انجام دینا	اکسانا	V	3.17	2.83	2.07	1	0.14	0	1.39
منظور	بخش دینا	V	3.73	3.03	1.92	1	0.14	0	1.75
کرنا	آزاد ہونا	V	1.17	2.46	2.56	1	0.14	0	1.81
تفتیش کرنا	تفتیش	V	8.1	2.27	2.86	1	0.14	0	1.31
بحث کرنا	وضاحت	V	6.67	3.17	1.97	1	0.14	0	1.53
مقروض ہونا	ادھار دینا	V	2.32	2.07	3.07	1	0.14	0	0.82
تلاش کرنا	ظاہر کرنا	V	8.48	2.9	2.37	2	0.14	0	1.33
شکایت	بحث	V	4.8	2.6	2.75	2	0.14	0	0.9
نکالنا	ترک کرنا	V	6.38	3.04	2.4	2	0.14	0	1.97
رکھنا	ادھار لینا	V	2.25	2.37	3.1	2	0.14	0	1.29
طلب	پوچھنا	V	6.0	2.96	2.52	2	0.14	0	1.58
ترتیب	تنظیم کرنا	V	8.27	2.79	2.72	2	0.14	0	1.1
گھٹانا	پیچھے ہٹنا	V	8.02	2.0	3.55	2	0.14	0	1.82
بات	تسلیم	V	4.67	3.7	2.03	2	0.14	0	1.47
دینا	ادھار لینا	V	2.22	2.83	3.1	2	0.14	0	1.63
قتل	بچانا	V	2.63	3.9	2.31	2	0.14	0	0.85
غائب ہونا	پیچھے ہٹنا	V	5.8	2.86	3.55	2	0.14	0	1.0
آزاد کرنا	اٹھانا	V	3.88	3.12	4.04	2	0.14	0	1.44
بقید حیات ہونا	دم رک جانا	V	1.37	4.07	3.97	3	0.14	0	2.02
تسلیم	مطلع	V	5.3	2.03	3.04	1	0.13	0	0.62
ہوجانا	لگتا	V	2.63	1.54	1.75	1	0.11	0	1.79
بننا	لگتا	V	4.68	2.11	1.75	1	0.11	0	1.63
انجام دینا	ہوجانا	V	4.0	2.33	1.54	1	0.11	0	0.85
ارادہ کرنا	سوچتے	V	8.82	1.71	2.41	1	0.11	0	1.59
احاطہ کرنا	آنے والے واقعہ کی خبر دینا	V	5.8	2.13	2.0	1	0.11	0	1.37
براہ کرم	بات چیت میں لگانا	V	5.0	1.64	2.55	1	0.11	0	0.71
رہنا	برقرار	V	5.75	1.96	2.32	1	0.11	0	1.12
بننا	تصویر کھینچنا	V	7.03	2.11	2.18	1	0.11	0	1.64
بھولنا	برقرار	V	0.63	2.04	2.32	1	0.11	0	1.68
چاہتا ہوں	منتخب	V	4.78	1.93	2.62	1	0.11	0	1.56
کھونا	پانا	V	0.77	2.25	2.38	1	0.11	0	1.33
کوشش	سوچتے	V	2.62	2.22	2.41	1	0.11	0	1.45
ہوجانا	چھپنا	V	4.77	1.54	3.13	1	0.11	0	1.51
چھوڑنا	نظر انداز	V	4.42	2.53	2.22	1	0.11	0	1.33
منظور	تعریف کرنا	V	2.75	3.03	1.74	1	0.11	0	1.01
چھوڑنا	آوارہ گردی کرنا	V	3.57	2.53	2.28	1	0.11	0	1.33
رکھنا	دینا	V	1.05	2.37	2.83	2	0.11	0	1.03
دینا	اجازت دینا	V	5.15	2.83	2.41	2	0.11	0	1.32
لانا	بھیجنا	V	2.97	2.55	2.7	2	0.11	0	0.88
جذب	سیکھنا	V	5.48	3.11	2.2	2	0.11	0	1.16
پانا	تلاش	V	6.38	2.93	2.63	2	0.11	0	1.74
چھوڑنا	چھپنا	V	0.97	2.53	3.13	2	0.11	0	1.45
بنانا	برباد کرنا	V	0.63	2.62	3.08	2	0.11	0	1.1
آغاز کرنا	جانا	V	7.42	2.56	3.15	2	0.11	0	1.24
پانا	خریدنا	V	5.08	2.38	3.35	2	0.11	0	1.02
جمع کرنا	محفوظ	V	6.67	3.34	2.42	2	0.11	0	0.44
جانشین ہونا	بحال	V	5.73	3.0	2.79	2	0.11	0	1.08
جوڑنا	شامل	V	8.1	2.86	3.0	2	0.11	0	0.88
جوڑنا	شادی	V	5.35	2.86	3.03	2	0.11	0	1.41
منظور	آزاد کرنا	V	1.58	3.03	3.12	2	0.11	0	1.37
عائد کرنا	جوڑنا	V	7.75	3.33	2.86	2	0.11	0	0.94
رکھنا	پھانسی	V	3.0	2.5	3.7	2	0.11	0	1.49
جانا	بیچنا	V	0.97	3.15	3.35	2	0.11	0	0.9
آگاہ کرنا	عبادت	V	3.55	3.43	3.21	2	0.11	0	1.38
دینا	چرا لے جانا	V	0.5	2.83	3.84	2	0.11	0	0.62
شامل	بنانا	V	4.92	3.0	3.71	2	0.11	0	1.1
لانا	بحال	V	2.62	2.55	2.79	2	0.1	0	0.74
ادراک کرنا	مطمعن	V	2.55	1.86	2.04	1	0.0	0	1.0
تصویر کھینچنا	طے	V	1.18	2.18	1.92	1	0.0	0	1.37
تنظیم کرنا	ہوجانا	V	1.77	2.72	1.54	1	0.0	0	1.86
دینا	جاننا	V	0.88	2.83	1.68	1	0.0	0	1.12
کہہ	تصدیق	V	4.9	2.58	2.1	1	0.0	0	0.65
تعاون	جوڑنا	V	5.18	1.87	2.86	1	0.0	0	0.36
ترتیب	ضرورت	V	0.98	2.79	2.07	1	0.0	0	1.72
ادھار لینا	چاہتا ہوں	V	1.77	3.1	1.93	1	0.0	0	1.22
تفتیش کرنا	انجام دینا	V	7.15	2.27	2.83	1	0.0	0	0.56
نظر انداز	تلاش کرنا	V	0.4	2.22	2.9	1	0.0	0	1.19
لانا	شکایت	V	0.98	2.55	2.6	1	0.0	0	1.57
آ ملنا	مقروض ہونا	V	0.68	3.12	2.07	1	0.0	0	1.67
تصویر کھینچنا	مطلع	V	0.78	2.18	3.04	2	0.0	0	1.17
جتانا	بیچنا	V	0.4	2.19	3.35	2	0.0	0	1.61
جذب	پاس	V	5.0	3.11	2.6	2	0.0	0	1.15
جوڑنا	پانا	V	2.85	2.86	2.93	2	0.0	0	0.99
بھیجنا	توجہ	V	1.67	2.7	3.17	2	0.0	0	1.44
جمع	توجہ	V	4.8	2.75	3.17	2	0.0	0	1.97
جذب	نکالنا	V	2.97	3.11	3.04	2	0.0	0	1.75
توجہ	آنا	V	6.08	3.17	3.22	2	0.0	0	1.18
